KO_ID	Category1
K00232	Fatty acid metabolism
K00249	Fatty acid metabolism
K00255	Fatty acid metabolism
K00454	Fatty acid metabolism
K00626	Fatty acid metabolism
K00632	Fatty acid metabolism
K00645	Fatty acid metabolism
K00647	Fatty acid metabolism
K00648	Fatty acid metabolism
K00665	Fatty acid metabolism
K00667	Fatty acid metabolism
K00668	Fatty acid metabolism
K01574	Fatty acid metabolism
K01640	Fatty acid metabolism
K01641	Fatty acid metabolism
K01692	Fatty acid metabolism
K01716	Fatty acid metabolism
K01723	Fatty acid metabolism
K01782	Fatty acid metabolism
K01825	Fatty acid metabolism
K01897	Fatty acid metabolism
K01961	Fatty acid metabolism
K01962	Fatty acid metabolism
K01963	Fatty acid metabolism
K02160	Fatty acid metabolism
K02371	Fatty acid metabolism
K02372	Fatty acid metabolism
K05894	Fatty acid metabolism
K06445	Fatty acid metabolism
K07508	Fatty acid metabolism
K07509	Fatty acid metabolism
K07511	Fatty acid metabolism
K07512	Fatty acid metabolism
K07513	Fatty acid metabolism
K07514	Fatty acid metabolism
K07515	Fatty acid metabolism
K07516	Fatty acid metabolism
K09458	Fatty acid metabolism
K09479	Fatty acid metabolism
K10203	Fatty acid metabolism
K10205	Fatty acid metabolism
K10244	Fatty acid metabolism
K10245	Fatty acid metabolism
K10246	Fatty acid metabolism
K10247	Fatty acid metabolism
K10248	Fatty acid metabolism
K10249	Fatty acid metabolism
K10250	Fatty acid metabolism
K10251	Fatty acid metabolism
K10258	Fatty acid metabolism
K10525	Fatty acid metabolism
K10526	Fatty acid metabolism
K10527	Fatty acid metabolism
K10703	Fatty acid metabolism
K10780	Fatty acid metabolism
K11262	Fatty acid metabolism
K11263	Fatty acid metabolism
K11533	Fatty acid metabolism
K13767	Fatty acid metabolism
K15013	Fatty acid metabolism
K15397	Fatty acid metabolism
K16363	Fatty acid metabolism
K18472	Fatty acid metabolism
K18473	Fatty acid metabolism
K00550	Lipid metabolism
K00551	Lipid metabolism
K00570	Lipid metabolism
K00629	Lipid metabolism
K00630	Lipid metabolism
K00631	Lipid metabolism
K00635	Lipid metabolism
K00654	Lipid metabolism
K00655	Lipid metabolism
K00720	Lipid metabolism
K00866	Lipid metabolism
K00888	Lipid metabolism
K00889	Lipid metabolism
K00894	Lipid metabolism
K00911	Lipid metabolism
K00913	Lipid metabolism
K00915	Lipid metabolism
K00967	Lipid metabolism
K00968	Lipid metabolism
K00981	Lipid metabolism
K00993	Lipid metabolism
K00994	Lipid metabolism
K00998	Lipid metabolism
K01019	Lipid metabolism
K01046	Lipid metabolism
K01054	Lipid metabolism
K01080	Lipid metabolism
K01092	Lipid metabolism
